code,pctl,evaluationperiod_pctl,speed,evaluationperiod_speed,goal,indicatorcode,indicatorname,value,orig_value,diff,more_is_better,target_value
CPV,80-100,2015-2021,4.023712981,2015-2021,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",90.42877197,70.98213959,19.44663239,1,100
MDV,80-100,2015-2023,NA,NA,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",,,,1,100
MUS,80-100,2015-2020,6.499781605,2015-2020,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",95.722435,81.51020813,14.21222687,1,100
NPL,80-100,2015-2021,4.250762112,2015-2021,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",95.83792877,87.4921875,8.345741272,1,100
TCA,80-100,2015-2022,NA,NA,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",,,,1,100
PHL,80-100,2017-2023,4.174970026,2017-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",93.21458435,77.26255035,15.952034,1,100
ALB,NA,NA,1.175233905,2017-2023,4,SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",91.72238922,88.22045898,3.501930237,1,100
AFG,20-40,2015-2021,-0.273255814,2015-2021,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),27.01612903,27.71084337,-0.694714341,1,50
AGO,0-20,2015-2023,-1.120160654,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),33.63636364,36.81818182,-3.181818182,1,50
ATG,0-20,2015-2023,-1.502974355,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),5.555555556,11.11111111,-5.555555556,1,50
AZE,20-40,2015-2023,0.457562442,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),18.6440678,16.93548387,1.708583926,1,50
BGD,20-40,2015-2023,0.233695652,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),20.85714286,20,0.857142857,1,50
BIH,0-20,2015-2023,-0.64794686,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),19.04761905,21.42857143,-2.380952381,1,50
BWA,20-40,2015-2023,0.423566142,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),11.11111111,9.523809524,1.587301587,1,50
CYP,20-40,2015-2023,0.47606383,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),14.28571429,12.5,1.785714286,1,50
DEU,20-40,2015-2023,-0.452036648,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),35.19021739,36.45007924,-1.259861848,1,50
DZA,0-20,2015-2023,-6.629522293,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),7.862407862,31.6017316,-23.73932374,1,50
FJI,0-20,2015-2023,-1.353723404,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),10.90909091,16,-5.090909091,1,50
GMB,0-20,2015-2023,-0.220108696,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),8.620689655,9.433962264,-0.813272609,1,50
GNB,0-20,2015-2023,-1.045212766,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),9.803921569,13.7254902,-3.921568627,1,50
GRD,20-40,2015-2023,-0.676642229,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),31.25,33.33333333,-2.083333333,1,50
HND,20-40,2015-2023,0.455287929,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),27.34375,25.78125,1.5625,1,50
ISR,0-20,2015-2023,-0.718221459,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),24.16666667,26.66666667,-2.5,1,50
ITA,20-40,2015-2023,0.416126856,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),32.25,30.95238095,1.297619048,1,50
JOR,20-40,2015-2023,0.082446809,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),12.30769231,12,0.307692308,1,50
JPN,20-40,2015-2023,0.232365865,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),10.34482759,9.473684211,0.871143376,1,50
KAZ,0-20,2015-2023,-2.17050108,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),18.36734694,26.1682243,-7.80087736,1,50
KGZ,20-40,2015-2023,0.225543478,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),20,19.16666667,0.833333333,1,50
KHM,0-20,2015-2023,-1.805099445,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),13.6,20.32520325,-6.725203252,1,50
KIR,0-20,2015-2023,-0.551630435,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),6.666666667,8.695652174,-2.028985507,1,50
KWT,20-40,2015-2023,0.4397463,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),3.076923077,1.538461538,1.538461538,1,50
LAO,0-20,2015-2023,-0.85625,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),21.95121951,25,-3.048780488,1,50
LBR,20-40,2015-2023,0,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),10.95890411,10.95890411,0,1,50
LBY,20-40,2015-2023,0.135638298,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),16.47058824,15.95744681,0.513141427,1,50
LCA,0-20,2015-2023,-1.478723404,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),11.11111111,16.66666667,-5.555555556,1,50
LKA,20-40,2015-2023,0.122222222,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),5.333333333,4.888888889,0.444444444,1,50
LSO,20-40,2015-2023,0.418472516,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),26.44628099,25,1.446280992,1,50
MDG,0-20,2015-2023,-0.54076087,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),18.54304636,20.52980132,-1.986754967,1,50
MDV,0-20,2015-2023,-0.355555556,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),4.597701149,5.882352941,-1.284651792,1,50
MRT,0-20,2015-2023,-0.529545455,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),23.29545455,25.17006803,-1.874613482,1,50
NGA,0-20,2015-2023,-0.458333333,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),3.910614525,5.555555556,-1.64494103,1,50
OMN,0-20,2015-2023,-0.344753599,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),0,1.176470588,-1.176470588,1,50
PAK,20-40,2015-2023,-0.032608696,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),20.46783626,20.58823529,-0.120399037,1,50
PHL,20-40,2015-2023,0.026785714,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),27.33118971,27.24137931,0.0898104,1,50
PNG,20-40,2015-2023,0,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),2.702702703,2.702702703,0,1,50
PRK,20-40,2015-2023,0.348404255,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),17.61280932,16.30276565,1.310043668,1,50
SAU,20-40,2015-2023,0,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),19.86754967,19.86754967,0,1,50
SLV,0-20,2015-2023,-1.468899647,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),27.38095238,32.14285714,-4.761904762,1,50
SRB,20-40,2015-2023,0.275056306,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),34.8,34,0.8,1,50
STP,0-20,2015-2023,-0.96820074,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),14.54545455,18.18181818,-3.636363636,1,50
SYC,0-20,2015-2023,-7.341041903,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),22.85714286,43.75,-20.89285714,1,50
SYR,0-20,2015-2023,-0.425531915,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),10.8,12.4,-1.6,1,50
TKM,20-40,2015-2023,-0.061046512,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),25.6,25.80645161,-0.206451613,1,50
TLS,20-40,2015-2023,-0.587706105,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),36.92307692,38.46153846,-1.538461538,1,50
TTO,0-20,2015-2023,-0.733993902,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),28.57142857,30.95238095,-2.380952381,1,50
TUN,0-20,2015-2023,-4.309833733,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),16.23376623,31.33640553,-15.1026393,1,50
TUV,0-20,2015-2023,-0.114130435,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),6.25,6.666666667,-0.416666667,1,50
UGA,20-40,2015-2023,-0.398273273,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),33.81294964,34.97409326,-1.161143624,1,50
YEM,0-20,2015-2023,0,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),0,0,0,1,50
ZWE,20-40,2015-2023,-0.253285256,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),30.68181818,31.48148148,-0.7996633,1,50
BDI,40-60,2015-2023,0.695932208,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),38.21138211,36.36363636,1.84774575,1,50
BEL,40-60,2015-2023,1.461471206,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),42.66666667,39.33333333,3.333333333,1,50
BGR,40-60,2015-2023,1.040563241,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),24.16666667,20.41666667,3.75,1,50
BHS,40-60,2015-2023,1.275381591,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),17.94871795,13.15789474,4.790823212,1,50
CAN,40-60,2015-2023,1.386312225,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),30.6547619,26.03550296,4.619258946,1,50
CHN,40-60,2015-2023,0.836680761,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),26.536782,23.62284556,2.913936439,1,50
CIV,40-60,2015-2023,1.21820074,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),13.7254902,9.163346614,4.562143583,1,50
CMR,40-60,2015-2023,0.910703213,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),33.88888889,31.11111111,2.777777778,1,50
COD,40-60,2015-2023,1.030642923,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),12.8,8.943089431,3.856910569,1,50
ECU,40-60,2015-2023,0.681204212,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),43.06569343,41.60583942,1.459854015,1,50
ESP,40-60,2015-2023,1.504663462,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),44.28571429,41.14285714,3.142857143,1,50
EST,40-60,2015-2023,1.440310446,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),28.71287129,23.76237624,4.95049505,1,50
ETH,40-60,2015-2023,1.068358816,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),41.31355932,38.75685558,2.556703746,1,50
GHA,40-60,2015-2023,0.968085106,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),14.54545455,10.90909091,3.636363636,1,50
GRC,40-60,2015-2023,0.91557971,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),23,19.66666667,3.333333333,1,50
HUN,40-60,2015-2023,1.055851064,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),14.07035176,10.1010101,3.969341658,1,50
IDN,40-60,2015-2023,1.207938894,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),21.56521739,17.11711712,4.448100274,1,50
IND,40-60,2015-2023,0.869680851,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),15.24163569,11.97053407,3.271101618,1,50
IRN,40-60,2015-2023,0.695833333,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),5.594405594,3.103448276,2.490957319,1,50
IRQ,40-60,2015-2023,0.752874902,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),29.05198777,26.52439024,2.527597524,1,50
KEN,40-60,2015-2023,0.982487923,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),23.27586207,19.71428571,3.561576355,1,50
KOR,40-60,2015-2023,0.73392692,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),19.06354515,16.33333333,2.730211817,1,50
LBN,40-60,2015-2023,0.872639438,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),6.25,3.125,3.125,1,50
LTU,40-60,2015-2023,1.439012844,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),28.36879433,23.40425532,4.964539007,1,50
LUX,40-60,2015-2023,1.577547371,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),33.33333333,28.33333333,5,1,50
MHL,40-60,2015-2023,0.80903099,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),12.12121212,9.090909091,3.03030303,1,50
MMR,40-60,2015-2021,0.921985816,2015-2021,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),15.29411765,12.69349845,2.600619195,1,50
MNE,40-60,2015-2023,1.005723867,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),20.98765432,17.28395062,3.703703704,1,50
MNG,40-60,2015-2023,0.70212766,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),17.10526316,14.47368421,2.631578947,1,50
MOZ,40-60,2015-2023,1.607004705,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),43.2,39.6,3.6,1,50
MWI,40-60,2015-2023,1.097305735,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),20.7253886,16.66666667,4.058721934,1,50
MYS,40-60,2015-2023,0.837765957,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),13.51351351,10.36036036,3.153153153,1,50
NAM,40-60,2015-2023,1.379663462,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),44.23076923,41.34615385,2.884615385,1,50
NLD,40-60,2015-2023,1.057026668,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),40,37.33333333,2.666666667,1,50
NPL,40-60,2015-2023,1.12765606,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),33.08823529,29.54924875,3.538986546,1,50
NRU,40-60,2015-2023,1.432052369,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),10.52631579,5.263157895,5.263157895,1,50
PAN,40-60,2015-2023,1.15736715,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),22.53521127,18.30985915,4.225352113,1,50
POL,40-60,2015-2023,0.589285714,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),29.34782609,27.39130435,1.956521739,1,50
PRT,40-60,2015-2023,0.463095238,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),36.08695652,34.7826087,1.304347826,1,50
QAT,40-60,2015-2023,1.271221769,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),4.444444444,0,4.444444444,1,50
ROU,40-60,2015-2023,1.43622803,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),19.09090909,13.71571072,5.375198368,1,50
RUS,40-60,2015-2023,0.765957447,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),16.44444444,13.55555556,2.888888889,1,50
SEN,40-60,2015-2023,1.78422991,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),46.06060606,42.66666667,3.393939394,1,50
SGP,40-60,2015-2023,1.52574559,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),29.12621359,23.91304348,5.213170114,1,50
SUR,40-60,2015-2023,1.162049604,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),29.41176471,25.49019608,3.921568627,1,50
SVK,40-60,2015-2023,0.909541063,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),22,18.66666667,3.333333333,1,50
SVN,40-60,2015-2023,0.415886809,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),37.77777778,36.66666667,1.111111111,1,50
SWE,40-60,2015-2023,1.569861778,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),46.41833811,43.5530086,2.865329513,1,50
TGO,40-60,2015-2023,0.597132285,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),19.78021978,17.58241758,2.197802198,1,50
TUR,40-60,2015-2023,1.320825624,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),19.83333333,14.90909091,4.924242424,1,50
TZA,40-60,2015-2023,0.516275146,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),37.40458015,36,1.404580153,1,50
VCT,40-60,2015-2023,1.369796485,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),18.18181818,13.04347826,5.138339921,1,50
VUT,40-60,2015-2023,0.559605608,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),1.923076923,0,1.923076923,1,50
ZMB,40-60,2015-2023,0.614361702,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),14.97005988,12.65822785,2.311832032,1,50
BFA,60-80,2015-2023,1.982481499,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),16.90140845,9.448818898,7.452589553,1,50
BRA,60-80,2015-2023,2.021276596,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),17.54385965,9.941520468,7.602339181,1,50
BRB,60-80,2015-2023,2.771851305,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),26.66666667,16.66666667,10,1,50
BTN,60-80,2015-2023,2.36823543,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),17.39130435,8.510638298,8.88066605,1,50
CHE,60-80,2015-2023,2.301243809,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),38.5,32,6.5,1,50
COG,60-80,2015-2023,1.933452821,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),14.56953642,7.352941176,7.216595247,1,50
COL,60-80,2015-2023,2.562964813,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),28.87700535,19.87951807,8.997487275,1,50
CZE,60-80,2015-2023,1.678147693,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),26,20,6,1,50
DNK,60-80,2015-2023,2.648332072,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),43.57541899,37.4301676,6.145251397,1,50
DOM,60-80,2015-2023,2.023933479,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),27.89473684,20.76502732,7.12970952,1,50
FIN,60-80,2015-2023,2.286519287,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),46,41.5,4.5,1,50
GAB,60-80,2015-2023,2.809432554,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),24.48979592,14.16666667,10.32312925,1,50
GBR,60-80,2015-2023,1.697784878,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),34.61538462,29.38461538,5.230769231,1,50
GEO,60-80,2015-2023,1.895235893,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),18.43971631,11.33333333,7.106382979,1,50
GIN,60-80,2015-2023,2.230331079,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),29.62962963,21.92982456,7.699805068,1,50
GNQ,60-80,2015-2023,2.079064603,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),31,24,7,1,50
GTM,60-80,2015-2023,1.630319149,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),20,13.92405063,6.075949367,1,50
GUY,60-80,2015-2023,2.085695509,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),36.61971831,30.43478261,6.184935701,1,50
IRL,60-80,2015-2023,1.864558279,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),23.125,16.26506024,6.859939759,1,50
ISL,60-80,2015-2023,3.401086956,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),47.61904762,41.26984127,6.349206349,1,50
LIE,60-80,2015-2023,2.265910705,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),28,20,8,1,50
MAR,60-80,2015-2023,2.013434005,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),24.30379747,16.96202532,7.341772152,1,50
MUS,60-80,2015-2023,2.25,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),20,11.5942029,8.405797101,1,50
NOR,60-80,2015-2023,3.173331684,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),46.15384615,39.64497041,6.50887574,1,50
PLW,60-80,2015-2023,1.773154136,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),6.25,0,6.25,1,50
PRY,60-80,2015-2023,2.030102015,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),22.5,15,7.5,1,50
SLB,60-80,2015-2023,1.666364734,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),8,2,6,1,50
SOM,60-80,2015-2023,1.578110546,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),19.7080292,13.81818182,5.889847379,1,50
SSD,60-80,2015-2023,1.795745384,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),32.36363636,26.5060241,5.857612267,1,50
SWZ,60-80,2015-2023,2.943050416,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),17.14285714,6.153846154,10.98901099,1,50
TCD,60-80,2015-2023,3.018511374,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),25.88832487,14.89361702,10.99470785,1,50
TJK,60-80,2015-2023,2.221183588,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),26.98412698,19.04761905,7.936507937,1,50
TON,60-80,2015-2023,2.015001962,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),7.142857143,0,7.142857143,1,50
UKR,60-80,2015-2023,2.233869103,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),20.43269231,12.08530806,8.347384251,1,50
URY,60-80,2015-2023,2.788303556,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),26.26262626,16.16161616,10.1010101,1,50
USA,60-80,2015-2023,2.734425576,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),28.96551724,19.35483871,9.610678532,1,50
VEN,60-80,2015-2021,1.8822952,2015-2021,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),22.15568862,16.96969697,5.185991653,1,50
VNM,60-80,2015-2023,1.762587331,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),30.26052104,24.29718876,5.963332287,1,50
WSM,60-80,2015-2023,1.839500463,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),12.96296296,6.12244898,6.840513983,1,50
ZAF,60-80,2015-2023,1.978678979,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),45.86466165,42,3.864661654,1,50
ARG,60-80,2016-2023,3.489994949,2016-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),43.19066148,35.79766537,7.392996109,1,50
BRN,60-80,2016-2023,1.63506013,2016-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),11.76470588,6.451612903,5.313092979,1,50
CAF,60-80,2016-2023,1.739592969,2016-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),12.85714286,7.194244604,5.662898253,1,50
ALB,80-100,2015-2023,4.570581745,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),35.71428571,20.71428571,15,1,50
AND,80-100,2015-2023,6.317080432,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),50,39.28571429,10.71428571,1,50
ARE,80-100,2015-2023,11.75186825,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),50,22.5,27.5,1,50
ARM,80-100,2015-2023,7.181449658,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),35.51401869,10.6870229,24.82699579,1,50
AUS,80-100,2015-2023,3.898587172,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),38.41059603,26.66666667,11.74392936,1,50
AUT,80-100,2015-2023,3.770796851,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),40.98360656,30.6010929,10.38251366,1,50
BEN,80-100,2015-2023,5.2789816,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),26.60550459,7.228915663,19.37658892,1,50
BHR,80-100,2015-2023,3.35013876,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),20,7.5,12.5,1,50
BLR,80-100,2015-2023,4.365225818,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),40,27.27272727,12.72727273,1,50
BLZ,80-100,2015-2023,3.384260622,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),15.625,3.125,12.5,1,50
CHL,80-100,2015-2023,5.803714096,2015-2023,5,SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),35.48387097,15.83333333,19.65053763,1,50
